CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
Y44,,,Adverse effects of pharmacological agents primarily affecting blood constituents,Y44   Subst farm atuam prim s/constit sangue,Y44 Replace farm act prim s / constit blood,,Efeitos adversos de subst̢ncias farmacol�_gicas que atuam primariamente sobre os constituintes do sangue,
Y45,,,"Adverse effects of analgesic substances, antipyretic and anti-inflammatory",Y45   Subst analges antipiret e antiinflamatorias,Y45 Replace analges antipiret and anti-inflammatory,,"Efeitos adversos de subst̢ncias analg̩sicas, antipir̩ticas e antiinflamat�_rias",
Y46,,,Adverse effects of anticonvulsant drugs (antiepileptic) and antiparkinsonian,Y46   Drogas anticonvulsiv e antiparkinsonianas,Y46 Drugs anticonvulsiv and antiparkinsonian,,Efeitos adversos de drogas anticonvulsivantes (antiepil̩pticas) e antiparkinsonianas,
Y47,,,"Adverse effects of sedatives, hypnotics and tranquilizers [tranquilizers]",Y47   Sedativos hipnoticos e tranquilizantes,Sedatives and tranquilizers Y47 Hypnotic,,"Efeitos adversos de sedativos, hipn�_ticos e tranquilizantes [ansiol�_ticos]",
Y48,,,Adverse effects of anesthetics and therapeutic gases,Y48   Anestesicos e gases terapeuticos,Y48 Anaesthetics and therapeutic gases,,Efeitos adversos de anest̩sicos e gases terap̻uticos,
Y49,,,"Adverse effects of psychotropic substances, not elsewhere classified",Y49   Subst psicotropicas NCOP,Y49 Replace psychotropic NEC,,"Efeitos adversos de subst̢ncias psicotr�_picas, ṇo classificadas em outra parte",
Y50,,,"Adverse effects of stimulants of the central nervous system, not elsewhere classified",Y50   Estimulantes do sist nervoso central NCOP,Y50 stimulants of the central nervous syst NEC,,"Efeitos adversos de estimulantes do sistema nervoso central, ṇo classificados em outra parte",
Y51,,,Adverse effects of drugs that act primarily on the autonomic nervous system,Y51   Drogas que atuam prim s/sist nerv auton,Y51 Drugs acting prim s / auton nerv syst,,Efeitos adversos de drogas que atuam primariamente sobre o sistema nervoso aut̫nomo,
Y52,,,Adverse effects of substances that act primarily on the cardiovascular,Y52   Subst que atuam prim aparelho cardiovascular,Y52 Replace acting prim cardiovascular system,,Efeitos adversos de subst̢ncias que atuam primariamente sobre o aparelho cardiovascular,
Y53,,,Adverse effects of agents primarily affecting the gastrointestinal system,Y53   Subst que atuam prim aparelho gastrointest,Y53 Replace operating unit prim Gastrointest,,Efeitos adversos de subst̢ncias que atuam primariamente sobre o aparelho gastrointestinal,
Y54,,,"Adverse effects of substances which act primarily on the metabolism of water, minerals and uric acid",Y54   Subst atuam prim metab agua sais min ac uric,Y54 Replace act prim metab water salts min uric ac,,"Efeitos adversos de subst̢ncias que atuam primariamente sobre o metabolismo da ��gua, dos sais minerais e do ��cido ̼rico",
Y55,,,Adverse effects of agents primarily on smooth and skeletal muscles and the respiratory system,Y55   Subst atuam prim musc lisos esquelet ap resp,Y55 Replace act prim smooth musc skeleton ap resp,,Efeitos adversos de subst̢ncias que atuam primariamente sobre os m̼sculos lisos e esquel̩ticos e sobre o aparelho respirat�_rio,
Y56,,,"Adverse effects of topical agents primarily on the skin and mucous membrane and ophthalmological drugs, ENT and dental",Y56   Subst topic pele membr muc uso oft otor dent,Y56 Replace topic Membr skin muc use oft otor dent,,"Efeitos adversos de subst̢ncias de uso t�_pico que atuam primariamente sobre a pele e as membranas mucosas e drogas de uso oftalmol�_gico, otorrinolaringol�_gico e dent��rio",
Y57,,,Adverse effects of other drugs and medicines and unspecified,Y57   Outr drogas e medicamentos e as NE,Y57 othe drugs and medicines and NE,,Efeitos adversos de outras drogas e medicamentos e as ṇo especificadas,
Y58,,,Adverse effects of bacterial vaccines,Y58   Vacinas bacter,Y58 Vaccines bacter,,Efeitos adversos de vacinas bacterianas,
Y59,,,Adverse effects of vaccines and other biological substances and unspecified,Y59   Outr vacinas e subst biologicas e as NE,Y59 othe vaccines and biological subst and NE,,Efeitos adversos de outras vacinas e subst̢ncias biol�_gicas e as ṇo especificadas,
Y60,,,"Cut, puncture, accidental perforation or hemorrhage during the provision of medical or surgical care",Y60   Cort punc perf hemorr acid cuid med cirurg,Y60 Cort punc perf hemorr acid Nursing med surg,,"Corte, pun̤̣o, perfura̤̣o ou hemorragia acidentais durante a presta̤̣o de cuidados m̩dicos ou cir̼rgicos",
Y61,,,Foreign object accidentally left in the body for the provision of surgical and medical care,Y61   Obj estranho deix acid prest cuid cirurg med,Y61 Obj strange Deix acid perst Nursing med surg,,Objeto estranho deixado acidentalmente no corpo durante a presta̤̣o de cuidados cir̼rgicos e m̩dicos,
Y62,,,Inadequate sterilization during the provision of surgical and medical care,Y62   Asseps insuf prest cuidados cirurg e medicos,Y62 Asseps inflatable perst and medical care surg,,Assepsia insuficiente durante a presta̤̣o de cuidados cir̼rgicos e m̩dicos,
Y63,,,Dosage errors while providing medical and surgical care,Y63   Erros dosagem prest cuidados med e cirurg,Y63 errors dosage perst med surg care and,,Erros de dosagem durante a presta̤̣o de cuidados m̩dicos e cir̼rgicos,
Y64,,,Drugs or contaminated biological substances,Y64   Medicamentos ou subst biolog contaminados,Y64 Drugs or subst contaminated biolog,,Medicamentos ou subst̢ncias biol�_gicas contaminados,
Y65,,,Other accidents while providing medical and surgical care,Y65   Outr acid durante prest cuid medic cirurg,Y65 othe acid during perst Nursing medic surg,,Outros acidentes durante a presta̤̣o de cuidados m̩dicos e cir̼rgicos,
Y66,,,No administration of medical and surgical care,Y66   Nao admin de cuidado medico e cirurgico,Y66 No Admin medical and surgical care,,Ṇo administra̤̣o de cuidado m̩dico e cir̼rgico,
Y69,,,Accident not specified when providing medical care and surgical,Y69   Acid NE durante prest cuidado medic cirurg,Y69 Acid NE during perst care medic surg,,Acidente ṇo especificado durante a presta̤̣o de cuidado m̩dico e cir̼rgico,
Y70,,,Devices (sets) of anesthesiology associated with adverse incidents,Y70   Disp anestesiologia assoc incid adversos,Y70 Disp anesthesiology assoc adverse INCID,,"Dispositivos (aparelhos) de anestesiologia, associados a incidentes adversos",
Y71,,,Devices (devices) cardiovascular associated with adverse incidents,Y71   Disp cardiovasculares assoc incid adversos,Y71 Disp cardiovascular adverse assoc INCID,,"Dispositivos (aparelhos) cardiovasculares, associados a incidentes adversos",
Y72,,,Devices (devices) used in otolaryngology associated with adverse incidents,Y72   Disp utiliz otorrino assoc incid adversos,Y72 Disp USER ENT assoc adverse INCID,,"Dispositivos (aparelhos) utilizados em otorrinolaringologia, associados a incidentes adversos",
Y73,,,Devices (devices) used in gastroenterology and urology associated with adverse incidents,Y73   Disp usados gastroent urolog assoc incid adv,Y73 Disp used Gastroent urolog assoc INCID adv,,"Dispositivos (aparelhos) usados em gastroenterologia e em urologia, associados a incidentes adversos",
Y74,,,Devices (devices) General hospital and personal use associated with adverse incidents,Y74   Disp gerais uso hosp pessoal assoc incid adv,Y74 Disp general personal use hosp assoc INCID adv,,"Dispositivos (aparelhos) gerais de uso hospitalar ou pessoal, associados a incidentes adversos",
Y75,,,Devices (devices) used in neurology associated with adverse incidents,Y75   Disp utiliz neurolog assoc incid adversos,Y75 Disp USER neurolog assoc adverse INCID,,"Dispositivos (aparelhos) utilizados em neurologia, associados a incidentes adversos",
Y76,,,Devices (devices) used in obstetrics and gynecology associated with adverse incidents,Y76   Disp utiliz obstetr ginec assoc incid adv,Y76 Disp USER obstetr ginec assoc INCID adv,,"Dispositivos (aparelhos) utilizados em obstetr�_cia e em ginecologia, associados a incidentes adversos",
Y77,,,Devices (devices) used in ophthalmology associated with adverse incidents,Y77   Disp utiliz oftalmo assoc incid adversos,Y77 Disp USER ophthalmology assoc adverse INCID,,"Dispositivos (aparelhos) utilizados em oftalmologia, associados a incidentes adversos",
Y78,,,Devices (devices) used in radiology associated with adverse incidents,Y78   Disp utiliz radiologia assoc incid adversos,Y78 Disp USER radiology assoc adverse INCID,,"Dispositivos (aparelhos) utilizados em radiologia, associados a incidentes adversos",
Y79,,,"Devices (devices) orthopedic, associated with adverse incidents",Y79   Disp ortopedicos assoc a incidentes adversos,Y79 Disp ortopedicos assoc with adverse incidents,,"Dispositivos (aparelhos) ortop̩dicos, associado a incidentes adversos",
Y80,,,"Devices (devices) used in physical medicine (physiatry), associated with adverse incidents",Y80   Disp utiliz med fisica assoc incid adversos,Y80 Disp USER physical med assoc adverse INCID,,"Dispositivos (aparelhos) utilizados em medicina f�_sica (fisiatria), associado a incidentes adversos",
Y81,,,"Devices (devices) used in general surgery and plastic surgery, associated with adverse incidents",Y81   Disp util cirurg geral plast assoc incid adv,Y81 Disp useful general surg plast assoc INCID adv,,"Dispositivos (aparelhos) utilizados em cirurgia geral ou cirurgia pl��stica, associados a incidente adversos",
Y82,,,Other devices (devices) associated with adverse incidents and unspecified,Y82   Outr disp assoc incidentes adversos e os NE,Y82 othe disp assoc adverse incidents and NE,,Outros dispositivos (aparelhos) associados a incidentes adversos e os ṇo especificados,
Y83,,,"Abnormal reaction of patient or of later complication caused by surgery and other surgical procedures, without mention of misadventure during the intervention",Y83   Reac anorm compl tard interv cirurg s/acid,Y83 Reac abnorm compl tard Interval surg s / acid,,"Rea̤̣o anormal em paciente ou complica̤̣o tardia, causadas por interven̤̣o cir̼rgica e por outros atos cir̼rgicos, sem men̤̣o de acidente durante a interven̤̣o",
Y84,,,Abnormal reaction of patient or of later complication caused by other medical procedures without mention of misadventure during the procedure,Y84   Reac anorm compl tard out proc med s/acid,Y84 Reac abnorm compl tard October proc med s / acid,,"Rea̤̣o anormal em paciente ou complica̤̣o tardia, causadas por outros procedimentos m̩dicos, sem men̤̣o de acidente durante o procedimento",
Y85,,,Sequelae of traffic accidents,Y85   Sequelas de acid transp,Y85 Sequelae of acid transp,,Seq�_elas de acidentes de transporte,
Y86,,,Sequelae of other accidents,Y86   Sequelas de outr acid,Y86 Sequelae of othe acid,,Seq�_elas de outros acidentes,
Y87,,,"Sequelae of intentional self-harm, aggression or a fact of undetermined intent",Y87   Seq lesao autopr inten agress fato int indet,Y87 Seq lesion autopr intention aggression fact int indet,,"Seq�_elas de uma leṣo autoprovocada intencionalmente, de agresṣo ou de um fato cuja inten̤̣o ̩ indeterminada",
Y88,,,Sequelae of medical or surgical care regarded as an external cause,Y88   Sequelas cuid med cirurg consid causa ext,Y88 Sequelae Nursing med surg Pretty cause ext,,Seq�_elas de cuidado m̩dico ou cir̼rgico considerados como uma causa externa,
Y89,,,Sequelae of other external causes,Y89   Sequelas de outr causas externas,Y89 Sequelae of external causes othe,,Seq�_elas de outras causas externas,
Y90,,,Evidence of alcohol involvement determined by blood alcohol rates,Y90   Evidencia alcoolismo det p/taxas alcoolemia,Y90 Evidence det p alcoholism / alcohol charges,,Evid̻ncia de alcoolismo determinada por taxas de alcoolemia,
Y91,,,Evidence of alcohol involvement determined by level of intoxication,Y91   Evidencia alcoolismo determ p/nivel da intox,Y91 Evidence alcoholism determ p / level of intox,,Evid̻ncia de alcoolismo determinada pelo n�_vel da intoxica̤̣o,
Y95,,,Circumstance of nosocomial conditions (hospital),Y95   Circunst relat condicoes nosocomiais,Y95 EVENT relat conditions nosocomial,,Circunst̢ncia relativa as condi̵̤es nosocomiais (hospitalares),
Y96,,,Circumstances on working conditions,Y96   Circunst relat condicoes de trabalho,Y96 EVENT relat working conditions,,Circunst̢ncia relativa ��s condi̵̤es de trabalho,
Y97,,,Circumstances related to environmental pollution conditions,Y97   Circunst relat condicoes poluicao ambiental,Y97 EVENT relat conditions environmental pollution,,Circunst̢ncias relativas a condi̵̤es de polui̤̣o ambiental,
Y98,,,Circumstances related to living conditions,Y98   Circunst relat condicoes do modo de vida,Y98 EVENT relat conditions the way of life,,Circunst̢ncias relativas a condi̵̤es do modo de vida,
Z00,,,General examination and investigation of persons without complaint or reported diagnosis,Z00   Exame geral invest pess s/queix diagn relat,Z00 General examination invest pers s / queix diagn relat,,Exame geral e investiga̤̣o de pessoas sem queixas ou diagn�_stico relatado,
Z01,,,Other special examinations and investigations of persons without complaint or reported diagnosis,Z01   Outr exam invest esp pess s/queix diag relat,Z01 exam othe invest esp pers s / queix diag relat,,Outros exames e investiga̵̤es especiais de pessoas sem queixa ou diagn�_stico relatado,
Z02,,,Medical examination and consultation with administrative purposes,Z02   Exame med e consulta c/finalid admin,Z02 med exam and consultation c / finalid admin,,Exame m̩dico e consulta com finalidades administrativas,
Z03,,,Medical observation and evaluation for suspected diseases and conditions,Z03   Observ avaliacao med doenc afecc suspeitas,Z03 viewers evaluation med Thyroid Disease AFECC suspicions,,Observa̤̣o e avalia̤̣o m̩dica por doen̤as e afec̵̤es suspeitas,
Z04,,,Examination and observation for other reasons,Z04   Exame e observacao p/outr razoes,Z04 Examination and observation p / othe reasons,,Exame e observa̤̣o por outras raz̵es,
Z08,,,Follow-up examination after treatment for malignant neoplasm,Z08   Exame seguim apos tratamento p/neopl malig,Z08 Exam Seguim after treatment p / neopl Malig,,Exame de seguimento ap�_s tratamento por neoplasia maligna,
Z09,,,Follow-up examination after treatment for conditions other than malignant neoplasms,Z09   Exame seguim apos trat out afec n neop malig,Z09 Exam Seguim after facials October AFEC n neop Malig,,Exame de seguimento ap�_s tratamento de outras afec̵̤es que ṇo neoplasias malignas,
